City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,San Luis,AR,85.15,clear sky,-33.295,-66.3356,Huarpes Hotel
536,Kimbe,PG,75.11,light rain,-5.5502,150.1429,Kimbe Bay Hotel
537,Axim,GH,82.85,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
543,Moerai,PF,74.7,overcast clouds,-22.4333,-151.3333,Le Manotel
549,Bambanglipuro,ID,75.16,moderate rain,-7.95,110.2833,Puri Brata
550,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
551,Panaba,MX,83.7,broken clouds,21.2833,-88.2667,Hotel California
555,Paragominas,BR,89.08,broken clouds,-2.9667,-47.4833,INOVA
557,Pisco,PE,70.02,haze,-13.7,-76.2167,Hotel San Isidro Oficial
558,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
559,Paraiso,CR,81.88,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
560,Salinopolis,BR,83.91,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
561,Soyo,AO,80.22,scattered clouds,-6.1349,12.3689,Hotel Mpampa
564,Bowen,AU,74.32,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
566,Pontes E Lacerda,BR,74.28,overcast clouds,-15.2261,-59.3353,Hotel Bressan
571,Vryburg,ZA,75.99,clear sky,-26.9566,24.7284,The Times Premier Lodge
572,Pringsewu,ID,74.39,overcast clouds,-5.3582,104.9744,Urban Style by Front One
575,Gigmoto,PH,78.39,scattered clouds,13.7796,124.39,Cj's Travellers Inn
578,Aden,YE,80.8,few clouds,12.7794,45.0367,Sama Emirate Hotel
583,Bima,ID,78.37,overcast clouds,-8.4667,118.7167,Lambitu Hotel
592,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
598,Namwala,ZM,79.9,broken clouds,-15.7504,26.4384,Corner Point Lodge
600,Mabaruma,GY,87.58,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
603,Soe,ID,70.14,overcast clouds,-9.8607,124.284,Dena Hotel
604,General Roca,AR,84.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
606,Bartica,GY,88.12,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
608,Amahai,ID,78.73,broken clouds,-3.3333,128.9167,HOTEL ISABELA
611,Maine-Soroa,NE,87.91,clear sky,13.2114,12.0241,Complexe
615,Lingao,CN,71.44,few clouds,19.9103,109.6859,Lingao Ditai Inn
617,Kindu,CD,78.33,broken clouds,-2.95,25.95,Résidence Okanda
619,Qui Nhon,VN,74.86,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
621,Mont-Dore,NC,77.0,overcast clouds,-22.2833,166.5833,GIte
624,Hambantota,LK,78.64,overcast clouds,6.1241,81.1185,Bungalow 63
625,Porto Walter,BR,83.64,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
629,Buraydah,SA,75.65,scattered clouds,26.326,43.975,فندق راحة السلام
632,Parauna,BR,78.06,overcast clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
633,Zemio,CF,76.12,overcast clouds,5.0314,25.1361,OCHA Office
635,Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
643,Sete Lagoas,BR,76.28,overcast clouds,-19.4658,-44.2467,Sete Lagoas Residence Hotel Centro de Convenções
645,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
651,Xuddur,SO,84.52,broken clouds,4.1213,43.8894,Banjanay Hotel
652,Ahuimanu,US,75.85,broken clouds,21.4447,-157.8378,Paradise Bay Resort
653,Jawhar,SO,78.31,scattered clouds,2.7809,45.5005,hantiwadaag village part one
655,Pombas,CV,78.58,overcast clouds,17.1503,-25.0201,Paul Paradis
